trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,3,-73.11645918216479,"{0: 14, 1: 5, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-47.575314336759064,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-89.91650063002723,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,5,-61.478909163686176,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-205.23673893724825,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-85.21767780559814,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-104.06959209870307,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-40.452287693849726,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-62.96263087371736,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-85.42834436969247,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,0,-130.91319949103456,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-108.78890509793884,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-187.8285658946981,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-104.65781075061228,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",35,0,-259.2051831536916,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 5}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-46.750528574425104,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-33.30773898403804,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
